date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,year
2026-01-25,NVDA,USD,0001045810,2026-02-25,2026-02-25 16:42:19,2026,FY,10605000000,51951000000,62556000000,38466000000,21403000000,3180000000,125605000000,13250000000,20832000000,3306000000,24138000000,22251000000,13258000000,8301000000,81198000000,0,206803000000,9812000000,1371000000,0,1379000000,19601000000,32163000000,10041000000,1193000000,1774000000,4339000000,17347000000,0,2944000000,49510000000,0,24000000,146973000000,178000000,10118000000,157293000000,157293000000,206803000000,0,206803000000,74202000000,11412000000,807000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026
2025-01-26,NVDA,USD,0001045810,2025-02-26,2025-02-26 16:48:33,2025,FY,8589000000,34621000000,43210000000,23065000000,10080000000,3771000000,80126000000,8076000000,5188000000,807000000,5995000000,3387000000,10979000000,3038000000,31475000000,0,111601000000,6310000000,288000000,0,837000000,10612000000,18047000000,9982000000,976000000,886000000,2383000000,14227000000,0,1807000000,32274000000,0,24000000,68038000000,28000000,11237000000,79327000000,79327000000,111601000000,0,111601000000,38008000000,10270000000,1681000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,7280000000,18704000000,25984000000,9999000000,5282000000,3080000000,44345000000,5260000000,4430000000,1112000000,5542000000,1321000000,6081000000,3179000000,21383000000,0,65728000000,2699000000,1478000000,296000000,764000000,5394000000,10631000000,9578000000,573000000,462000000,1506000000,12119000000,0,1347000000,22750000000,0,25000000,29817000000,27000000,13109000000,42978000000,42978000000,65728000000,0,65728000000,20025000000,11056000000,3776000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,2024
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,3389000000,9907000000,13296000000,3827000000,5159000000,791000000,23073000000,4845000000,4372000000,1676000000,6048000000,299000000,3396000000,3521000000,18109000000,0,41182000000,1193000000,1426000000,467000000,354000000,3123000000,6563000000,10605000000,218000000,247000000,1448000000,12518000000,0,1078000000,19081000000,0,2000000,10171000000,-43000000,11971000000,22101000000,22101000000,41182000000,0,41182000000,10206000000,12031000000,8642000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,2023
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,1990000000,19218000000,21208000000,4650000000,2605000000,366000000,28829000000,3607000000,4349000000,2339000000,6688000000,266000000,1222000000,3575000000,15358000000,0,44187000000,1783000000,144000000,132000000,300000000,1976000000,4335000000,11687000000,202000000,245000000,1106000000,13240000000,0,885000000,17575000000,0,3000000,16235000000,-11000000,10385000000,26612000000,26612000000,44187000000,0,44187000000,19484000000,11831000000,9841000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,2022
