date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,year
2026-01-25,NVDA,USD,0001045810,2026-02-25,2026-02-25 16:42:19,2026,FY,215938000000,62475000000,153463000000,0.7106808436,18497000000,0,0,4579000000,0,23076000000,85551000000,2300000000,259000000,2843000000,144552000000,0.6694143689,130387000000,0.6038168363,11063000000,141450000000,0.6550491345,21383000000,120067000000,0.5560253406,4.93,4.9,24304000000,24432000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026
2025-01-26,NVDA,USD,0001045810,2025-02-26,2025-02-26 16:48:33,2025,FY,130497000000,32639000000,97858000000,0.7498869706,12914000000,0,0,3491000000,0,16405000000,49044000000,1786000000,247000000,1864000000,86137000000,0.6600688138,81453000000,0.6241752684,2573000000,84026000000,0.6438921968,11146000000,72880000000,0.5584802716,2.97,2.94,24555000000,24804000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,60922000000,16621000000,44301000000,0.7271757329,8675000000,0,0,2654000000,0,11329000000,27950000000,866000000,257000000,1508000000,35583000000,0.5840747185,32972000000,0.5412166377,846000000,33818000000,0.5551032468,4058000000,29760000000,0.4884934835,1.21,1.19,24690000000,24940000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,2024
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,26974000000,11618000000,15356000000,0.5692889449,7339000000,0,0,2440000000,1353000000,11132000000,22750000000,267000000,262000000,1543000000,5986000000,0.2219174019,4224000000,0.1565952399,-43000000,4181000000,0.1550011122,-187000000,4368000000,0.1619337139,0.18,0.17,24870000000,25070000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,2023
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,26914000000,9439000000,17475000000,0.6492903322,5268000000,0,0,2166000000,0,7434000000,16873000000,29000000,236000000,1174000000,11351000000,0.4217507617,10041000000,0.3730772089,-100000000,9941000000,0.3693616705,189000000,9752000000,0.362339303,0.39,0.38,24960000000,25350000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,2022
