date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,year
2025-12-31,GOOGL,USD,0001652044,2026-02-05,2026-02-04 21:56:03,2025,FY,30708000000,96135000000,126843000000,62886000000,0,16309000000,206038000000,261818000000,33380000000,0,33380000000,68687000000,9113000000,16245000000,389243000000,0,595281000000,12200000000,0,9531000000,6578000000,74436000000,102745000000,59291000000,0,0,17980000000,77271000000,0,12744000000,180016000000,0,93126000000,324055000000,-1916000000,0,415265000000,415265000000,595281000000,0,595281000000,164822000000,59291000000,28583000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,2025
2024-12-31,GOOGL,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,FY,23466000000,72191000000,95657000000,52340000000,0,15714000000,163711000000,184624000000,31885000000,0,31885000000,37982000000,17180000000,14874000000,286545000000,0,450256000000,7987000000,2887000000,8782000000,5036000000,64430000000,89122000000,22574000000,0,0,13476000000,36050000000,0,14578000000,125172000000,0,84800000000,245084000000,-4800000000,0,325084000000,325084000000,450256000000,0,450256000000,110173000000,25461000000,1995000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,2024
2023-12-31,GOOGL,USD,0001652044,2024-01-31,2024-01-30 21:43:43,2023,FY,24048000000,86868000000,110916000000,47964000000,0,12650000000,171530000000,148436000000,29198000000,0,29198000000,31008000000,12169000000,10051000000,230862000000,0,402392000000,7493000000,2791000000,2748000000,4137000000,64645000000,81814000000,24330000000,911000000,485000000,11473000000,37199000000,0,15251000000,119013000000,0,76534000000,211247000000,-4402000000,0,283379000000,283379000000,402392000000,0,402392000000,117876000000,27121000000,3073000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,2023
2022-12-31,GOOGL,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,21879000000,91883000000,113762000000,40258000000,2670000000,8105000000,164795000000,127049000000,28960000000,2084000000,31044000000,30492000000,5261000000,6623000000,200469000000,0,365264000000,5128000000,2477000000,9258000000,3908000000,48529000000,69300000000,27202000000,599000000,514000000,11505000000,39820000000,0,16822000000,109120000000,0,68184000000,195563000000,-7603000000,0,256144000000,256144000000,365264000000,0,365264000000,122375000000,29679000000,7800000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,2022
2021-12-31,GOOGL,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,FY,20945000000,118704000000,139649000000,39304000000,1170000000,8020000000,188143000000,110558000000,22956000000,1417000000,24373000000,29549000000,1284000000,5361000000,171125000000,0,359268000000,6037000000,2189000000,808000000,3288000000,51932000000,64254000000,26206000000,535000000,5257000000,11381000000,43379000000,0,15551000000,107633000000,0,61774000000,191484000000,-1623000000,0,251635000000,251635000000,359268000000,0,359268000000,148253000000,28395000000,7450000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,2021
