date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,year
2025-12-27,AMD,USD,0000002488,2026-02-04,2026-02-03 18:14:52,2025,FY,34639000000,17487000000,17152000000,0.4951644101,8091000000,0,0,4144000000,1223000000,13458000000,30945000000,0,131000000,3004000000,7275000000,0.210023384,3694000000,0.1066428015,470000000,4166000000,0.1202690609,-103000000,4335000000,0.1251479546,2.67,2.65,1624000000,1636000000,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,2025
2024-12-28,AMD,USD,0000002488,2025-02-05,2025-02-05 16:42:57,2024,FY,25785000000,13060000000,12725000000,0.4935039752,6456000000,1583000000,1200000000,2783000000,1586000000,10825000000,23885000000,182000000,92000000,3177000000,5258000000,0.203917006,1900000000,0.0736862517,122000000,2022000000,0.0784176847,381000000,1641000000,0.0636416521,1.01,1.0,1620000000,1637000000,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,2024
2023-12-30,AMD,USD,0000002488,2024-01-31,2024-01-31 17:16:39,2023,FY,22680000000,12220000000,10460000000,0.4611992945,5872000000,1657000000,695000000,2352000000,1835000000,10059000000,22279000000,206000000,106000000,3551000000,4149000000,0.1829365079,401000000,0.017680776,107000000,508000000,0.0223985891,-346000000,854000000,0.037654321,0.53,0.53,1614000000,1625000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,2023
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,23601000000,12998000000,10603000000,0.4492606245,5005000000,1653000000,683000000,2336000000,1998000000,9339000000,22337000000,65000000,88000000,4262000000,5534000000,0.2344815898,1264000000,0.0535570527,-66000000,1198000000,0.050760561,-122000000,1320000000,0.0559298335,0.85,0.84,1561000000,1571000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,2022
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,FY,16434000000,8505000000,7929000000,0.482475356,2845000000,870000000,578000000,1448000000,-12000000,4281000000,12786000000,8000000,34000000,463000000,4166000000,0.2534988439,3648000000,0.2219788244,27000000,3675000000,0.2236217598,513000000,3162000000,0.1924059876,2.61,2.57,1213000000,1229000000,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,2021
