date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,year
2025-12-27,AMD,USD,0000002488,2026-02-04,2026-02-03 18:14:52,2025,FY,4269000000,3004000000,248000000,1638000000,-2378000000,-121000000,-2189000000,410000000,-478000000,928000000,7709000000,-974000000,-1760000000,-5972000000,1845000000,1328000000,-5533000000,1491000000,285000000,-1316000000,0,-891000000,-431000000,114000000,1859000000,5539000000,3680000000,7709000000,-974000000,6735000000,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,2025
2024-12-28,AMD,USD,0000002488,2025-02-05,2025-02-05 16:42:57,2024,FY,1641000000,3177000000,-1163000000,1407000000,-2098000000,-1865000000,-1458000000,-109000000,1334000000,77000000,3041000000,-636000000,-565000000,-1834000000,2032000000,-98000000,-1101000000,-750000000,0,-1590000000,0,278000000,-2062000000,0,-122000000,3811000000,3933000000,3041000000,-636000000,2405000000,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,2024
2023-12-30,AMD,USD,0000002488,2024-01-31,2024-01-31 17:16:39,2023,FY,854000000,3551000000,-1019000000,1384000000,-3049000000,-1250000000,-580000000,-419000000,-800000000,-54000000,1667000000,-546000000,-131000000,-3722000000,2987000000,-11000000,-1423000000,0,0,-1412000000,0,266000000,-1146000000,0,-902000000,3933000000,4835000000,1667000000,-546000000,1121000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,2023
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,1320000000,4262000000,-1505000000,1081000000,-1846000000,-1091000000,-1401000000,931000000,-285000000,253000000,3565000000,-450000000,822000000,-2667000000,4310000000,-16000000,1999000000,679000000,0,-4108000000,0,165000000,-3264000000,0,2300000000,4835000000,2535000000,3565000000,-450000000,3115000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,2022
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,FY,3162000000,463000000,308000000,379000000,-774000000,-640000000,-556000000,801000000,-379000000,-17000000,3521000000,-301000000,0,-2056000000,1678000000,-7000000,-686000000,0,0,-1999000000,0,104000000,-1895000000,0,940000000,2535000000,1595000000,3521000000,-301000000,3220000000,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,2021
