year,AAPL,GOOGL,MSFT
2021,20.7521186512474,18.755924401812194,24.81424930110179
2022,19.13954929539275,13.625510685767965,19.849227147118388
2023,21.592832070393534,18.03960049402374,24.54249419821191
2024,26.5639689436745,17.238442619318434,26.11475636986971
2025,26.969935053694947,21.231654460386082,23.595607841913026
