date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,year
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,14265000000,23151000000,37416000000,3839000000,11618000000,10815000000,63688000000,105414000000,23912000000,2772000000,26684000000,8512000000,0,7131000000,147741000000,0,211429000000,9882000000,2499000000,604000000,0,18590000000,31575000000,44086000000,0,0,9408000000,53494000000,0,0,85069000000,0,65185000000,48983000000,113000000,0,114281000000,126360000000,211429000000,12079000000,211429000000,31663000000,46585000000,32320000000,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,8249000000,13813000000,22062000000,3478000000,12198000000,9586000000,47324000000,107919000000,24693000000,3691000000,28384000000,5383000000,0,7475000000,149161000000,0,196485000000,12556000000,3729000000,1756000000,0,17625000000,35666000000,46282000000,0,0,9505000000,55787000000,0,0,91453000000,0,50949000000,49032000000,-711000000,0,99270000000,105032000000,196485000000,5762000000,196485000000,19196000000,50011000000,41762000000,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,2024
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,7079000000,17955000000,25034000000,3402000000,11127000000,3706000000,43269000000,97152000000,27591000000,4589000000,32180000000,5829000000,0,13142000000,148303000000,0,191572000000,8578000000,2300000000,1107000000,0,16068000000,28053000000,46978000000,0,0,6576000000,53554000000,0,0,81607000000,0,36649000000,69156000000,-215000000,0,105590000000,109965000000,191572000000,4375000000,191572000000,23784000000,49278000000,42199000000,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,2023
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,11144000000,17194000000,28338000000,4133000000,13224000000,4712000000,50407000000,80860000000,27591000000,6018000000,33609000000,5912000000,3450000000,7865000000,131696000000,0,182103000000,9595000000,4323000000,2251000000,0,15986000000,32155000000,37684000000,0,202000000,8776000000,46662000000,0,0,78817000000,0,31580000000,70405000000,-562000000,0,101423000000,103286000000,182103000000,1863000000,182103000000,23106000000,42051000000,30907000000,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,2022
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,4827000000,24426000000,29253000000,9457000000,10776000000,9072000000,58558000000,63245000000,26963000000,7270000000,34233000000,6298000000,0,6072000000,109848000000,0,168406000000,5747000000,4600000000,1076000000,0,16039000000,27462000000,33510000000,185000000,2667000000,9191000000,45553000000,0,0,73015000000,0,28006000000,68265000000,-880000000,0,95391000000,95391000000,168406000000,0,168406000000,30724000000,38101000000,33274000000,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,2021
