year,AMD,INTC,NVDA
2021,42.10125300048007,7.130580681348527,
2022,17.91361944344055,6.548731865345791,54.71865033917717
2023,57.11972523499639,22.482342999466287,81.04764450384229
2024,38.27173830353747,106.93765586034912,43.4522187561476
2025,47.845602749140895,14.498202591612094,33.77740227776681
2026,,,31.35739304886823
