date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,year
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,52853000000,34478000000,18375000000,0.3476623843,13774000000,0,0,4607000000,17000000,18398000000,52876000000,1007000000,1091000000,11706000000,14354000000,0.2715834484,-23000000,-0.0004351692,1580000000,1557000000,0.0294590657,1531000000,-267000000,-0.0050517473,-0.0589,-0.0589,4856000000,4856000000,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2025
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,53101000000,35756000000,17345000000,0.3266416828,16546000000,4651000000,856000000,5507000000,6970000000,29023000000,64779000000,1805000000,824000000,11379000000,1203000000,0.0226549406,-11678000000,-0.2199205288,468000000,-11210000000,-0.2111071355,8023000000,-18756000000,-0.3532136871,-4.38,-4.38,4280000000,4280000000,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,2024
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,54228000000,32517000000,21711000000,0.400365125,16046000000,4684000000,950000000,5634000000,0,21680000000,54135000000,1335000000,878000000,9602000000,11242000000,0.2073098768,93000000,0.0017149812,669000000,762000000,0.0140517814,-913000000,1689000000,0.0311462713,0.4,0.4,4190000000,4212000000,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,2023
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,63054000000,36188000000,26866000000,0.4260792337,17528000000,5802000000,1200000000,7002000000,0,24530000000,60718000000,589000000,496000000,13035000000,21299000000,0.3377898309,2334000000,0.0370158911,5434000000,7768000000,0.1231959907,-249000000,8014000000,0.1270974086,1.95,1.94,4108000000,4123000000,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,2022
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,79024000000,35209000000,43815000000,0.5544518121,15190000000,5443000000,1100000000,6543000000,2626000000,24359000000,59568000000,144000000,597000000,11792000000,33874000000,0.4286545859,19456000000,0.246203685,2247000000,21703000000,0.2746380846,1835000000,19868000000,0.2514172909,4.89,4.86,4059000000,4090000000,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,2021
